codigo_favorecido,nome_favorecido,codigo_municipio_siafi
19904298000192,CONSORCIO INTERMUNICIPAL DO AGRESTE ALAGOANO - CONAGRESTE,2705
02270946000101,CONSORCIO INTERMUNICIPAL MULTIFINALITARIO GUANDU - CIM GUANDU,5601
02471378000107,CONSORCIO INTERMUNICIPAL DE SAUDE DO CARIRI OCIDENTAL,2227
18273727000108,CONSORCIO PUBLICO INTERMUNICIPAL DE INOVACAO E DESENVOLVIMENTO DO ESTADO DO PARANA - CINDEPAR,7439
84306737000127,MUNICIPIO DE ACRELANDIA,643
04045993000179,MUNICIPIO DE ASSIS BRASIL,157
04508933000145,MUNICIPIO DE BRASILEIA,105
84306620000143,MUNICIPIO DE BUJARI,645
84306604000150,MUNICIPIO DE CAPIXABA,647
04012548000102,MUNICIPIO DE CRUZEIRO DO SUL,107
84306588000104,MUNICIPIO DE EPITACIOLANDIA,651
04005179000120,MUNICIPIO DE FEIJO,113
84306497000160,MUNICIPIO DE JORDAO,653
04059671000189,MUNICIPIO DE MANCIO LIMA,109
04051207000146,MUNICIPIO DE MANOEL URBANO,155
84306463000176,MUNICIPIO DE MARECHAL THAUMATURGO,655
04076733000160,MUNICIPIO DE PLACIDO DE CASTRO,151
84306661000130,MUNICIPIO DE PORTO ACRE,649
63603625000168,MUNICIPIO DE PORTO WALTER,657
04034583000122,MUNICIPIO DE RIO BRANCO,139
84306455000120,MUNICIPIO DE RODRIGUES ALVES,659
84306521000161,MUNICIPIO DE SANTA ROSA DO PURUS,661
04513362000137,MUNICIPIO DE SENA MADUREIRA,145
04077251000125,MUNICIPIO DE SENADOR GUIOMARD,153
34693564000179,MUNICIPIO DE TARAUACA,147
04018560000124,MUNICIPIO DE XAPURI,149
12350153000148,MUNICIPIO DE AGUA BRANCA,2701
12227351000119,MUNICIPIO DE ANADIA,2703
12198693000158,MUNICIPIO DE ARAPIRACA,2705
12200143000126,MUNICIPIO DE ATALAIA,2707
12262713000102,MUNICIPIO DE BARRA DE SANTO ANTONIO,2709
12263869000108,MUNICIPIO DE BARRA DE SAO MIGUEL,2711
12250056000183,MUNICIPIO DE BATALHA,2713
12227641000162,MUNICIPIO DE BELEM,2715
12250163000101,MUNICIPIO DE BELO MONTE,2717
12264396000163,MUNICIPIO DE BOCA DA MATA,2719
12332995000177,MUNICIPIO DE BRANQUINHA,2721
12227971000158,MUNICIPIO DE CACIMBINHAS,2723
12333738000150,MUNICIPIO DE CAJUEIRO,2725
01631604000107,MUNICIPIO DE CAMPESTRE,560
12264628000183,MUNICIPIO DE CAMPO ALEGRE,2727
12198701000166,MUNICIPIO DE CAMPO GRANDE,2729
12367892000142,MUNICIPIO DE CANAPI,2731
06076193000140,SECRETARIA DE EDUCACAO E CULTURA DO MUNICIPIO DE CAPELA-AL,2733
12250684000169,MUNICIPIO DE CARNEIROS,2735
12334629000157,MUNICIPIO DE CHA PRETA,2737
12198719000168,MUNICIPIO DE COITE DO NOIA,2739
12332987000120,MUNICIPIO DE COLONIA LEOPOLDINA,2741
12200325000105,MUNICIPIO DE COQUEIRO SECO,2743
03431812000180,SECRETARIA MUNICIPAL DE EDUCACAO,2745
08439549000199,MUNICIPIO DE CRAIBAS,2889
12224895000127,MUNICIPIO DE DELMIRO GOUVEIA,2747
30332200000102,SECRETARIA MUNICIPAL DE EDUCACAO,2749
24176307000106,MUNICIPIO DE ESTRELA DE ALAGOAS,2643
12207528000115,MUNICIPIO DE FEIRA GRANDE,2751
12242020000158,MUNICIPIO DE FELIZ DESERTO,2753
12262721000159,MUNICIPIO DE FLEXEIRAS,2755
12207536000161,MUNICIPIO DE GIRAU DO PONCIANO,2757
12332961000182,MUNICIPIO DE IBATEGUARA,2759
12228375000192,MUNICIPIO DE IGACI,2761
12242350000143,MUNICIPIO DE IGREJA NOVA,2763
12226197000160,MUNICIPIO DE INHAPI,2765
30601613000145,SECRETARIA MUNICIPAL DE EDUCACAO E ESPORTES,2767
12247755000174,MUNICIPIO DE JACUIPE,2769
12247946000136,MUNICIPIO DE JAPARATINGA,2771
12207544000108,MUNICIPIO DE JARAMATAIA,2773
02917132000108,MUNICIPIO DE JEQUIA DA PRAIA,562
12262739000150,MUNICIPIO DE JOAQUIM GOMES,2775
12248100000110,MUNICIPIO DE JUNDIA,2777
12265468000197,MUNICIPIO DE JUNQUEIRO,2779
12207551000100,MUNICIPIO DE LAGOA DA CANOA,2781
12207403000195,MUNICIPIO DE LIMOEIRO DE ANADIA,2783
12200135000180,MUNICIPIO DE MACEIO,2785
12228904000158,MUNICIPIO DE MAJOR ISIDORO,2787
12333761000144,MUNICIPIO DE MAR VERMELHO,2797
12248522000196,MUNICIPIO DE MARAGOGI,2789
12251286000167,MUNICIPIO DE MARAVILHA,2791
12200275000158,MUNICIPIO DE MARECHAL DEODORO,2793
06123687000139,SECRETARIA MUNICIPAL DE EDUCACAO DE MARECHAL DEODORO,2793
30984456000102,"SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA E ESPORTE",2795
12226205000179,MUNICIPIO DE MATA GRANDE,2799
12342663000173,MUNICIPIO DE MATRIZ DE CAMARAGIBE,2801
12200283000102,MUNICIPIO DE MESSIAS,2803
29967751000163,SECRETARIA MUNICIPAL DE EDUCACAO,2805
12251450000136,MUNICIPIO DE MONTEIROPOLIS,2807
12332953000136,MUNICIPIO DE MURICI,2809
12248878000120,MUNICIPIO DE NOVO LINO,2811
12251468000138,MUNICIPIO DE OLHO D'AGUA DAS FLORES,2813
12350146000146,MUNICIPIO DE OLHO D'AGUA DO CASADO,2815
12207411000131,MUNICIPIO DE OLHO D'AGUA GRANDE,2817
12257762000157,MUNICIPIO DE OLIVENCA,2819
29993824000191,SECRETARIA MUNICIPAL DE EDUCACAO,2821
29993866000122,SECRETARIA MUNICIPAL DE EDUCACAO,2823
12954621000193,SECRETARIA MUNICIPAL DE EDUCACAO,2825
12369880000157,MUNICIPIO DE PAO DE ACUCAR,2827
35634435000172,MUNICIPIO DE PARICONHA,2645
35561471000153,MUNICIPIO DE PARIPUEIRA,2641
12342655000127,MUNICIPIO DE PASSO DE CAMARAGIBE,2829
12335030000138,MUNICIPIO DE PAULO JACINTO,2831
12243697000100,MUNICIPIO DE PENEDO,2833
12247268000101,MUNICIPIO DE PIACABUCU,2835
30775851000177,SECRETARIA DE EDUCACAO DO MUNICIPIO DE PILAR,2837
12335436000110,MUNICIPIO DE PINDOBA,2839
12225546000120,MUNICIPIO DE PIRANHAS,2841
12259040000131,MUNICIPIO DE POCO DAS TRINCHEIRAS,2843
12366720000154,MUNICIPIO DE PORTO CALVO,2845
08629446000191,MUNICIPIO DE PORTO DE PEDRAS,2847
12207429000133,MUNICIPIO DE PORTO REAL DO COLEGIO,2849
12241675000101,MUNICIPIO DE QUEBRANGULO,2851
12200168000120,MUNICIPIO DE RIO LARGO,2853
12264248000149,MUNICIPIO DE ROTEIRO,2855
12200317000150,MUNICIPIO DE SANTA LUZIA DO NORTE,2857
06072934000115,"SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA,TURISMO, ESPORTE, LAZER, CIENCIA,TECNOLOGIA E INOVACAO",2859
12250916000189,MUNICIPIO DE SANTANA DO IPANEMA,2859
12332979000184,MUNICIPIO DE SANTANA DO MUNDAU,2861
12207437000180,MUNICIPIO DE SAO BRAS,2863
30965100000113,SECRETARIA MUNICIPAL DE EDUCACAO,2863
12330916000199,MUNICIPIO DE SAO JOSE DA LAJE,2865
12261228000114,MUNICIPIO DE SAO JOSE DA TAPERA,2867
12342671000110,MUNICIPIO DE SAO LUIS DO QUITUNDE,2869
12264222000109,MUNICIPIO DE SAO MIGUEL DOS CAMPOS,2871
12364881000109,MUNICIPIO DE SAO MIGUEL DOS MILAGRES,2873
12247631000199,MUNICIPIO DE SAO SEBASTIAO,2875
12200333000143,MUNICIPIO DE SATUBA,2877
12421137000107,MUNICIPIO DE SENADOR RUI PALMEIRA,2891
12241865000129,MUNICIPIO DE TANQUE D'ARCA,2879
12207445000126,MUNICIPIO DE TAQUARANA,2881
12842829000110,MUNICIPIO DE TEOTONIO VILELA,971
12207452000128,MUNICIPIO DE TRAIPU,2883
02526056000100,SECRETARIA MUNICIPAL DE EDUCACAO,2885
12333746000104,MUNICIPIO DE VICOSA,2887
04628335000100,MUNICIPIO DE ALVARAES,289
04628723000190,MUNICIPIO DE AMATURA,291
04628020000162,MUNICIPIO DE ANAMA,293
04262762000117,MUNICIPIO DE ANORI,203
22812960000199,MUNICIPIO DE APUI,969
04530713000118,MUNICIPIO DE ATALAIA DO NORTE,205
04477642000137,MUNICIPIO DE AUTAZES,207
04271037000105,MUNICIPIO DE BARCELOS,209
04283040000149,MUNICIPIO DE BARREIRINHA,211
