transferencia_id,programa_codigo
1,1031
2,2221
3,2222
4,2029
5,5111
6,5111
7,903
8,6111
9,5111
10,903
11,903
12,903
13,5111
14,903
15,5111
16,903
17,903
18,5111
19,903
20,5111
21,903
22,5111
23,5111
24,903
25,5111
26,903
27,5111
28,903
29,903
30,5111
31,903
32,5111
33,903
34,903
35,5111
36,903
37,5111
38,903
39,5111
40,903
41,903
42,5111
43,903
44,5111
45,903
46,903
47,903
48,903
49,903
50,903
51,903
52,2223
53,5111
54,903
55,903
56,5111
57,903
58,903
59,903
60,5111
61,903
62,2219
63,903
64,903
65,2219
66,903
67,903
68,5111
69,903
70,903
71,5111
72,903
73,2219
74,903
75,903
76,903
77,2219
78,903
79,903
80,903
81,903
82,2219
83,903
84,903
85,903
86,903
87,903
88,903
89,903
90,2318
91,5111
92,903
93,2219
94,903
95,903
96,903
97,903
98,903
99,903
100,2219
101,5111
102,903
103,5111
104,903
105,903
106,5111
107,903
108,903
109,903
110,5111
111,903
112,5111
113,903
114,2222
115,2068
116,903
117,2217
118,2219
119,903
120,903
121,5111
122,903
123,2219
124,903
125,903
126,903
127,903
128,903
129,903
130,903
131,903
132,5111
133,903
134,903
135,2219
136,903
137,903
138,903
139,903
140,903
141,5111
142,903
143,903
144,903
145,2219
146,903
147,903
148,903
149,5111
150,903
151,903
152,903
153,5111
154,903
155,903
156,2219
157,903
158,903
159,903
160,903
161,903
162,903
163,903
164,903
165,2219
166,2219
167,5111
168,903
169,5111
170,903
171,903
172,2322
173,903
174,903
175,903
176,903
177,903
178,903
179,903
180,903
181,903
182,2217
183,903
184,5111
185,903
186,903
187,903
188,903
189,5111
190,903
191,903
192,5111
193,903
194,903
195,5111
196,903
197,5111
198,903
199,5111
200,903
201,5111
202,903
203,5111
204,903
205,5111
206,903
207,2217
208,5128
209,5111
210,903
211,5111
212,903
213,5111
214,903
215,5111
216,903
217,5111
218,903
219,5111
220,903
221,2219
222,5128
223,5111
224,903
225,5111
226,903
227,5111
228,903
229,5111
230,903
231,5111
232,903
233,2219
234,5111
235,903
236,5111
237,903
238,5111
239,903
240,5111
241,903
242,5111
243,903
244,5111
245,903
246,5111
247,903
248,2219
249,5111
250,903
251,903
252,2219
253,5111
254,903
255,5111
256,903
257,5111
258,903
259,5111
260,903
261,5111
262,903
263,5111
264,903
265,5111
266,903
267,5016
268,5111
269,903
270,5111
271,903
272,5111
273,903
274,5111
275,903
276,5111
277,903
278,1031
279,5111
280,903
281,5111
282,903
283,5111
284,903
285,5111
286,903
287,5111
288,903
289,5111
290,903
291,1031
292,5111
293,903
294,5111
295,903
296,5111
297,903
298,5128
299,5111
300,903
301,5111
302,903
303,5111
304,903
305,5111
306,903
307,5111
308,903
309,5111
310,903
311,903
312,5111
313,903
314,5111
315,903
316,5111
317,903
318,5111
319,903
320,5111
321,903
322,903
323,5111
324,903
325,2217
326,903
327,6011
328,5111
329,903
330,5111
331,903
332,903
333,6011
334,903
335,903
336,5111
337,903
338,2217
339,903
340,5111
341,903
342,5111
343,903
344,5111
345,903
346,6011
347,5111
348,903
349,903
350,5111
351,903
352,1031
353,903
354,903
355,903
356,2219
357,903
358,903
359,903
360,903
361,2068
362,903
363,2219
364,903
365,903
366,5128
367,903
368,903
369,2219
370,903
371,903
372,1031
373,903
374,903
375,903
376,5111
377,903
378,903
379,5111
380,903
381,903
382,903
383,903
384,903
385,5111
386,903
387,903
388,903
389,903
390,903
391,5111
392,903
393,5111
394,903
395,5111
396,903
397,903
398,2219
399,903
400,903
401,5111
402,903
403,903
404,903
405,5111
406,903
407,903
408,903
409,903
410,903
411,5111
412,903
413,2318
414,903
415,903
416,903
417,5111
418,903
419,903
420,903
421,2219
422,903
423,5111
424,903
425,903
426,903
427,903
428,903
429,903
430,903
431,903
432,903
433,5111
434,903
435,903
436,5111
437,903
438,5111
439,903
440,903
441,903
442,5111
443,903
444,5111
445,903
446,5111
447,903
448,5111
449,903
450,5111
451,903
452,5111
453,903
454,5111
455,903
456,903
457,903
458,903
459,903
460,5111
461,903
462,903
463,903
464,903
465,5111
466,5111
467,903
468,2068
469,5111
470,903
471,2219
472,903
473,2219
474,5111
475,903
476,903
477,903
478,903
479,903
480,5111
481,903
482,903
483,903
484,5111
485,5111
486,903
487,903
488,903
489,903
490,903
491,1031
492,2219
493,903
494,903
495,5111
496,903
497,5111
498,903
499,903
500,903
501,903
502,1031
503,903
504,903
505,903
506,1031
507,2219
508,903
509,5111
510,903
511,1031
512,903
513,903
514,903
515,903
516,1031
517,903
518,5111
519,903
520,5111
521,903
522,5111
523,903
524,903
525,903
526,2219
527,5111
528,903
529,903
530,903
531,903
532,903
533,903
534,5016
535,903
536,5111
537,903
538,5128
539,5111
540,903
541,903
542,903
543,903
544,903
545,903
546,903
547,903
548,5111
549,903
550,5111
551,5111
552,903
553,903
554,5111
555,903
556,903
557,903
558,5111
559,903
560,1031
561,2219
562,5111
563,903
564,903
565,5111
566,903
567,903
568,903
569,903
570,903
571,903
572,903
573,903
574,5111
575,903
576,2219
577,903
578,5111
579,903
580,903
581,903
582,5111
583,903
584,903
585,5111
586,903
587,5111
588,903
589,903
590,2219
591,903
592,903
593,2219
594,903
595,903
596,2217
