codigo_unidade_gestora,nome_unidade_gestora,nome_orgao
135098,CAIXA ECONOMICA FEDERAL/MA,Ministério da Agricultura e Pecuária - Unidades com vínculo direto
530013,SECRETARIA NACIONAL DE SEGURANCA HIDRICA SNSH,Ministério da Integração e do Desenvolvimento Regional - Unidades com vínculo direto
255000,FUNDACAO NACIONAL DE SAUDE - DF,Fundação Nacional de Saúde
530023,SEC. NAC. POLIT. DESENV. REG. E TERRITORIAL,Ministério da Integração e do Desenvolvimento Regional - Unidades com vínculo direto
153173,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação
110594,DEPARTAMENTO DO PROGRAMA CALHA NORTE,Ministério da Defesa - Unidades com vínculo direto
540007,CAIXA - SNINFRA,Ministério do Turismo - Unidades com vínculo direto
175004,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,Ministério das Cidades - Unidades com vínculo direto
530012,SECRETARIA NACIONAL PROTECAO E DEFESA CIVIL,Ministério da Integração e do Desenvolvimento Regional - Unidades com vínculo direto
195001,CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA,Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba
330013,FUNDO NACIONAL DE ASSISTENCIA SOCIAL,Fundo Nacional de Assistência Social
200330,SECRETARIA NACIONAL DE SEG. PUBLICA - SENASP,Ministério da Justiça e Segurança Pública - Unidades com vínculo direto
200331,FUNDO NACIONAL DE SEGURANCA PUBLICA - FNSP,Fundo Nacional de Segurança Pública
195004,CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA,Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba
580003,"COORD-GERAL DE ORC,FINANCAS E CONTAB.",Ministério da Pesca e Aquicultura - Unidades com vínculo direto
130141,"SUBSECRETARIA DE ORCAMENTO,PLANEJAMENTO E ADM",Ministério da Agricultura e Pecuária - Unidades com vínculo direto
343004,"SUPERINTENDENCIA DO IPHAN NO CEARA, IPHAN-CE",Instituto do Patrimônio Histórico e Artístico Nacional
540026,SCDC - CONVENIOS,Ministério da Cultura - Unidades com vínculo direto
257001,DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE,Ministério da Saúde - Unidades com vínculo direto
195015,CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA,Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba
343013,"SUPERINTENDENCIA DO IPHAN M. GERAIS, IPHAN-MG",Instituto do Patrimônio Histórico e Artístico Nacional
530020,CAIXA ECONOMICA FEDERAL - MI,Ministério da Integração e do Desenvolvimento Regional - Unidades com vínculo direto
550015,PROJETO DE OPERACION. DOS PROGRAMAS DA SNAS,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vín"
533027,CAIXA ECONOMICA FEDERAL - SUDECO,Superintendência de Desenvolvimento do Centro-Oeste
343042,SUPERINTENDENCIA DO IPHAN NO MATO GROSSO - MT,Instituto do Patrimônio Histórico e Artístico Nacional
533018,SUPERINT. DO DESENVOLVIMENTO DO CENTRO-OESTE,Superintendência de Desenvolvimento do Centro-Oeste
343002,"SUPERINTENDENCIA DO IPHAN NO PARA, IPHAN-PA",Instituto do Patrimônio Histórico e Artístico Nacional
540035,FNC - SCDC,Fundo Nacional de Cultura
550009,DPTO. APOIO E ACOLHIM. AT. EM ALCOOL E DROGAS,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vín"
343039,SUPERINTENDENCIA DO IPHAN NO RIO G. NORTE/RN,Instituto do Patrimônio Histórico e Artístico Nacional
343012,"SUPERINTENDENCIA DO IPHAN R.G.DO SUL,IPHAN-RS",Instituto do Patrimônio Histórico e Artístico Nacional
420048,"SECRETARIA DE FORMACAO, LIVRO E LEITURA",Ministério da Cultura - Unidades com vínculo direto
240901,FUNDO NAC.DE DESENV. CIENT. E TECNOLOGICO,Fundo Nacional de Desenvolvimento Científico e Tecnológico
440202,SEC.MEIO AMBIENTE URBANO QUALIDADE AMBIENTAL,Ministério do Meio Ambiente e Mudança do Clima - Unidades com vínculo direto
343008,"SUPERINTENDENCIA DO IPHAN EM SERGIPE,IPHAN-SE",Instituto do Patrimônio Histórico e Artístico Nacional
443002,GESTAO RECURSOS HIDRICOS - CEF,Agência Nacional de Águas
154040,FUNDACAO UNIVERSIDADE DE BRASILIA - UNB,Fundação Universidade de Brasília
158126,"INST.FED.DE EDUC.,CIE.E TEC.SUL-RIO-GRANDENSE",Instituto Federal Sul-rio-grandense
158658,UNIV. FEDERAL DA INTEGRACAO-LATINO-AMERICANA,Universidade Federal da Integração Latino-Americana
153061,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,Universidade Federal de Juiz de Fora
153290,FACULDADE DE ODONTOLOGIA/UFMG,Universidade Federal de Minas Gerais
154046,UNIVERSIDADE FEDERAL DE OURO PRETO,Universidade Federal de Ouro Preto
158718,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA,Universidade Federal do Sul e Sudeste do Pará
